violation_id,app_name,violation_type,policy_sentence,violation_description,contradiction_score,neutral_score,entailment_score,predicted_label,confidence,severity,source,year
V001,Flo,Data Sharing,We do not share users' health information with third parties,Shared pregnancy and period data with Facebook Analytics from 2016-2019,0.89,0.08,0.03,contradiction,0.89,CRITICAL,FTC Settlement 2021,2019
V002,Flo,Data Sharing,Your intimate data is protected with the highest security standards,Exposed user data to 8+ third parties via embedded SDKs including AppsFlyer and Flurry,0.84,0.12,0.04,contradiction,0.84,CRITICAL,WSJ Investigation,2019
V003,Flo,Data Retention,All data is deleted upon user request,User notes containing intimate health details retained server-side indefinitely,0.81,0.14,0.05,contradiction,0.81,CRITICAL,Privacy International,2021
V004,Flo,SDK Tracking,We use minimal tracking technologies necessary for app functionality,AppsFlyer and Flurry SDKs embedded without clear disclosure to users,0.79,0.15,0.06,contradiction,0.79,CRITICAL,Class Action 2025,2024
V005,Flo,Consent,Users must explicitly opt-in to any data sharing,Pre-checked consent boxes for data sharing that users had to actively uncheck,0.86,0.10,0.04,contradiction,0.86,CRITICAL,FTC Finding,2021
V006,Clue,Data Broker,We work with carefully selected service providers who respect your privacy,User data appeared on Narrative data marketplace despite privacy commitments,0.62,0.28,0.10,contradiction,0.62,HIGH,Privacy Reports,2022
V007,Clue,Analytics,We use industry-standard security measures to protect your information,Google Analytics embedded collecting user behavior data without clear disclosure,0.58,0.32,0.10,contradiction,0.58,HIGH,App Analysis,2022
V008,Ovia,Employer Sharing,Your health data is kept strictly confidential,Shared detailed health data with employers through corporate wellness programs,0.87,0.09,0.04,contradiction,0.87,CRITICAL,Washington Post,2019
V009,Ovia,Ad Tracking,We collect only the information necessary to provide our services,Collects 11 different data points for third-party advertising purposes,0.78,0.16,0.06,contradiction,0.78,CRITICAL,Consumer Reports,2020
V010,Ovia,Pregnancy Data,Health information is not shared with insurance companies,Pregnancy status and related health information shared with insurance partners,0.82,0.13,0.05,contradiction,0.82,CRITICAL,Investigative Report,2019
V011,Glow,Security,Your data is securely stored using encryption and access controls,User data was accessible to anyone who knew the user email address,0.79,0.15,0.06,contradiction,0.79,CRITICAL,CA AG Settlement,2020
V012,Glow,Partner Access,Only you control who can see your personal health information,Partner accounts could access sensitive cycle and fertility data without explicit consent,0.74,0.19,0.07,contradiction,0.74,HIGH,Security Audit,2020
V013,Maya,Facebook SDK,We protect your reproductive health information from third parties,Shared menstrual cycle data with Facebook before SDK removal following activist pressure,0.68,0.24,0.08,contradiction,0.68,HIGH,Privacy Activists,2019
V014,MIA Fem,Facebook Sharing,Your health data stays private and is never used for advertising,Shared intimate health data directly with Facebook for advertising purposes,0.65,0.26,0.09,contradiction,0.65,HIGH,Privacy International,2019
V015,Apple Health,On-Device,Health data stays on your device and is not sent to Apple,Health data processed and stored on device without transmission to Apple servers,0.08,0.24,0.68,entailment,0.68,LOW,Apple Documentation,2025
